refs,qty_per_board,value,footprint,manufacturer,mpn,schematic_pn,mouser_pn,mouser_mpn,lifecycle,stock,min,mult,order_5,unit_5,ext_5,order_10,unit_10,ext_10,notes
C27,1,22p,C_0402_1005Metric,YAGEO,CC0402JRNPO9BN220,603-CC402JRNPO9BN220,603-CC402JRNPO9BN220,CC0402JRNPO9BN220,,467574,1,1,15,0.0270,0.40,20,0.0270,0.54,
C11 C28 C29 C30 C31,5,22u,C_1206_3216Metric,Samsung Electro-Mechanics,CL31B226KPHNNNE,187-CL31B226KPHNNNE,187-CL31B226KPHNNNE,CL31B226KPHNNNE,,158357,1,1,30,0.3050,9.15,55,0.2280,12.54,
L6,1,23nH,0908SQ-23N,Coilcraft,XR0908SQ-23NJLC,,994-0908SQ-23NJLC,0908SQ-23NJLC,,9466,1,1,7,1.9600,13.72,12,1.6700,20.04,"Schematic MPN has an ""XR"" prefix; Mouser part is 0908SQ-23NJLC; MPN differs: schematic XR0908SQ-23NJLC vs Mouser 0908SQ-23NJLC"
C12 C66,2,27p,C_0402_1005Metric,YAGEO,CC0402JRNPO9BN270,603-CC402JRNPO9BN270,603-AC0402JRNP9BN270,AC0402JRNPO9BN270,,12449,1,1,20,0.0500,1.00,30,0.0500,1.50,SUBSTITUTE: Yageo automotive grade of the same 27 pF C0G 5% part (CC0402JRNPO9BN270: on order only)
J2,1,2S Battery,Connector_01x03_BT-003E,,,,,,,,,,7,,,12,,,Hand-fit; salvage from C62 or JBL-EC BT-003BE
R27 R52,2,2k,R_0402_1005Metric,YAGEO,0402WGF2001TCE,303-0402WGF2001TCE,603-RC0402FR-072KL,RC0402FR-072KL,,1715607,1,1,20,0.0110,0.22,30,0.0110,0.33,SUBSTITUTE: UniOhm 0402WGF2001TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
C16 C19 C36 C37,4,2u2,C_0402_1005Metric,Samsung Electro-Mechanics,CL05A225KO5NQNC,187-CL05A225KO5NQNC,187-CL05A225MO5NQNC,CL05A225MO5NQNC,,50172,1,1,30,0.0710,2.13,50,0.0710,3.55,"SUBSTITUTE: Same Samsung family, 20% instead of 10% (CL05A225KO5NQNC: 0 stock)"
R22 R24,2,30k/1%,R_0402_1005Metric,YAGEO,0402WGF3002TCE,303-0402WGF3002TCE,603-RC0402FR-0730KL,RC0402FR-0730KL,,317670,1,1,20,0.0110,0.22,30,0.0110,0.33,SUBSTITUTE: UniOhm 0402WGF3002TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R69,1,30k1,R_0402_1005Metric,YAGEO,0402WGF3012TCE,303-0402WGF3012TCE,603-RC0402FR-0730K1L,RC0402FR-0730K1L,,479884,1,1,15,0.0090,0.13,20,0.0090,0.18,SUBSTITUTE: UniOhm 0402WGF3012TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
Y1,1,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,ECS,ECS-TXO-20CSMV4-320-AY-TR,520-TX20CSMV4320AYTR,520-TX20CSMV4320AYTR,ECS-TXO-20CSMV4-320-AY-TR,,5844,1,1,7,1.7100,11.97,12,1.4900,17.88,
C52 C54 C56,3,33p,C_0402_1005Metric,Murata Electronics,GJM1555C1H330FB01D,81-GJM1555C1H330FB1D,81-GJM1555C1H330GB1D,GJM1555C1H330GB01D,,438,1,1,25,0.0750,1.88,50,0.0530,2.65,"SUBSTITUTE: RF: same Murata GJM high-Q series, 2% instead of 1% (FB01D: 0 stock); confirm acceptable"
L2,1,39n,L_0603_1608Metric,ABRACON,AISC-0603-R039J-T,815-AISC-0603-R039-J,815-AISC-0603-R039-J,AISC-0603-R039J-T,,5550,1,1,15,0.2350,3.52,20,0.2350,4.70,
C67,1,3p,C_0402_1005Metric,Murata Electronics,GJM1555C1H3R0BB01D,81-GJM1555C1H3R0BB01,81-GJM1555C1H3R0BB01,GJM1555C1H3R0BB01D,,221571,1,1,15,0.0540,0.81,20,0.0540,1.08,
L4,1,4.7 uH,L_Bourns-SRN6028C,Bourns,SRN6028C-4R7M,652-SRN6028C-4R7M,652-SRN6028C-4R7M,SRN6028C-4R7M,,2388,1,1,7,0.4000,2.80,12,0.3250,3.90,
C39 C42,2,470p,C_0402_1005Metric,YAGEO,CC0402JRNPO9BN471,603-CC402JRNPO9BN471,603-CC402JRNPO9BN471,CC0402JRNPO9BN471,,138072,1,1,20,0.0540,1.08,30,0.0540,1.62,
R25 R26 R35 R39 R44,5,47k,R_0402_1005Metric,YAGEO,0402WGF4702TCE,303-0402WGF4702TCE,603-RC0402FR-0747KL,RC0402FR-0747KL,,1339237,1,1,35,0.0110,0.38,60,0.0110,0.66,SUBSTITUTE: UniOhm 0402WGF4702TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
C68 C69,2,47n,C_0402_1005Metric,YAGEO,CL05B473KO5NNNC,187-CL05B473KO5NNNC,603-CC402KRX7R7BB473,CC0402KRX7R7BB473,,56451,1,1,20,0.0310,0.62,30,0.0310,0.93,SUBSTITUTE: 47 nF 16 V X7R 0402 (CL05B473KO5NNNC: 0 stock)
R46 R47,2,5k1,R_0402_1005Metric,YAGEO,0402WGF5101TCE,303-0402WGF5101TCE,603-RC0402FR-075K1L,RC0402FR-075K1L,,1012805,1,1,20,0.0110,0.22,30,0.0110,0.33,SUBSTITUTE: UniOhm 0402WGF5101TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R68,1,5k23,R_0402_1005Metric,YAGEO,0402WGF5231TCE,303-0402WGF5231TCE,603-RC0402FR-075K23L,RC0402FR-075K23L,,82881,1,1,15,0.0090,0.13,20,0.0090,0.18,SUBSTITUTE: UniOhm 0402WGF5231TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R29,1,6k04,R_0402_1005Metric,Panasonic Industry,0402WGF6041TCE,303-0402WGF6041TCE,667-ERJ-2RKF6041X,ERJ-2RKF6041X,,51809,1,1,15,0.0190,0.28,20,0.0190,0.38,SUBSTITUTE: UniOhm 0402WGF6041TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R64,1,6k04/1%,R_0402_1005Metric,Panasonic Industry,0402WGF6041TCE,303-0402WGF6041TCE,667-ERJ-2RKF6041X,ERJ-2RKF6041X,,51809,1,1,15,0.0190,0.28,20,0.0190,0.38,SUBSTITUTE: UniOhm 0402WGF6041TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
C58,1,6p8,C_0402_1005Metric,Murata Electronics,GJM1555C1H6R8BB01D,81-GJM1555C1H6R8BB1D,81-GJM1555C1H6R8BB1D,GJM1555C1H6R8BB01D,,98260,1,1,15,0.0370,0.55,20,0.0370,0.74,
L1,1,82n,L_0603_1608Metric,ABRACON,AISC-0603-R082J-T,815-AISC-0603-R082-J,815-AISC-0603-R082-J,AISC-0603-R082J-T,,5052,1,1,15,0.2340,3.51,20,0.2340,4.68,
U14,1,ATtiny826,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,Microchip Technology,ATTINY826-MU,579-ATTINY826-MU,579-ATTINY826-MU,ATTINY826-MU,,1021,1,1,7,0.8600,6.02,12,0.8600,10.32,
U12,1,BQ25792RQMR,QFN-29_L4.0-W4.0-P0.40-TL-BQ25792RQMR,Texas Instruments,BQ25792RQMR,595-BQ25792RQMR,595-BQ25792RQMR,BQ25792RQMR,,34,1,1,5,7.3600,36.80,10,5.6700,56.70,
Q2 Q3 Q4 Q5 Q6,5,BSS138,SOT-23,Diodes Incorporated,BSS138-7-F,621-BSS138-7-F,621-BSS138-7-F,BSS138-7-F,,1240572,1,1,27,0.1200,3.24,52,0.1200,6.24,
J4,1,Conn_Coaxial,Connector_ufl_1909763-1,TE Connectivity / AMP,1909763-1,571-1909763-1,571-1909763-1,1909763-1,,181146,1,1,7,0.5400,3.78,12,0.4590,5.51,
U7,1,GRF5604,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,Guerrilla RF,GRF5604,459-GRF5604,459-GRF5604,GRF5604,,0,1,1,5,6.0200,30.10,10,4.5900,45.90,Stock 0 < order 5 for 5 boards; Stock 0 < order 10 for 10 boards
J11,1,Keyboard,FPC-SMD_P0.50-16P_FGS-XJ-H2.0,Hirose Connector,FH12-16S-0.5SH(55),798-FH12-16S-05SH55,798-FH12-16S-05SH55,FH12-16S-0.5SH(55),,3374,1,1,7,2.0000,14.00,12,1.7100,20.52,
D5,1,LED Green,LED_0402_1005Metric,Bivar,SM0402GC,749-SM0402GC,749-SM0402GC,SM0402GC,,21724,1,1,15,0.4520,6.78,20,0.4520,9.04,
D4,1,LED Red,LED_0402_1005Metric,Bivar,SM0402RC,749-SM0402RC,749-SM0402RC,SM0402RC,,13269,1,1,15,0.4720,7.08,20,0.4720,9.44,
FL1,1,LFCN-490+,Filter_Mini-Circuits_FV1206,Mini-Circuits,LFCN-490+,139-LFCN-490,139-LFCN-490,LFCN-490+,,2499,1,1,5,5.4000,27.00,10,5.4000,54.00,
U13,1,LG77L,LG77L,Quectel,LG77LICMD,277-LG77LICMD,277-LG77LICMD,LG77LICMD,,1021,1,1,5,9.5900,47.95,10,8.3300,83.30,
U1,1,MCM-iMX93,MCM-iMX93,,MCM-iMX93-C1700D-D2-N32,,,,,,,,7,,,12,,,CompuLab direct (consigned)
U5,1,MCP1703Ax-330xxTT,SOT-23,Microchip Technology,MCP1703AT-3302E/CB,579-MCP1703AT3302ECB,579-MCP1703AT3302ECB,MCP1703AT-3302E/CB,,6938,1,1,7,0.7500,5.25,12,0.7500,9.00,
U11 U2,2,PE4312,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,pSemi,PE4312C-Z,81-PE4312C-Z,81-PE4312C-Z,PE4312C-Z,,39115,1,1,12,3.6100,43.32,22,3.6100,79.42,
D8,1,RB751S40,D_SOD-523,onsemi,RB751S40T1G,863-RB751S40T1G,863-RB751S40T1G,RB751S40T1G,,66405,1,1,10,0.1320,1.32,12,0.1320,1.58,
Q1,1,SI23333,SOT-23,Vishay / Siliconix,SI2333,78-SI2333DDS-T1-BE3,78-SI2333CDS-T1-BE3,SI2333CDS-T1-BE3,,104789,1,1,10,0.5600,5.60,12,0.5600,6.72,"SUBSTITUTE: Vishay sibling: 12 V, 5.1 A, 35 mOhm at 4.5 V, SOT-23 (SI2333DDS: 260-day lead)"
U9,1,SKY13330-397LF,QFN-12_L2.0-W2.0-P0.50-BL-EP0.8,"Skyworks Solutions, Inc.",SKY13330-397LF,873-SKY13330-397LF,873-SKY13330-397LF,SKY13330-397LF,,92212,1,1,7,0.9400,6.58,12,0.6700,8.04,
IC1,1,SX1255IWLTRT,QFN50P500X500X80-33N-D,Semtech,SX1255IWLTRT,947-SX1255IWLTRT,947-SX1255IWLTRT,SX1255IWLTRT,,2518,1,1,5,13.4500,67.25,10,10.8500,108.50,
U10,1,TLV320AIC3100,VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,Texas Instruments,TLV320AIC3100IRHBR,595-V320AIC3100IRHBR,595-V320AIC3100IRHBR,TLV320AIC3100IRHBR,,26,1,1,7,3.9200,27.44,12,2.9300,35.16,
U6,1,TLV74018PDBVR,SOT-23-5,Texas Instruments,TLV74018PDBVR,595-TLV74018PDBVR,595-TLV74018PDBVR,TLV74018PDBVR,,6311,1,1,10,0.0690,0.69,12,0.0690,0.83,
U4,1,TPS562203,SOT-563,Texas Instruments,TPS562203DRLR,595-TPS562203DRLR,595-TPS562203DRLR,TPS562203DRLR,,11780,1,1,10,0.2110,2.11,12,0.2110,2.53,
U3,1,TPS565242,SOT-563,Texas Instruments,TPS565242DRLR,595-TPS565242DRLR,595-TPS565242DRLR,TPS565242DRLR,,132,1,1,7,0.6900,4.83,12,0.4870,5.84,
U8,1,USBLC6-2SC6,SOT-23-6,STMicroelectronics,USBLC6-2-SC6,511-USBLC6-2SC6,511-USBLC6-2SC6,USBLC6-2SC6,,42861,1,1,10,0.2870,2.87,12,0.2870,3.44,
J12,1,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,TYPE-C-31-M-12,,,,,,,,7,,,12,,,Not on Mouser; HRO part is sold by LCSC. Needs a footprint-verified US equivalent
